Bin, nEvents, Efficiencies
152.41,1514,0.03028
165.05,1489,0.02978
178.75,1449,0.02898
193.57,1426,0.02852
209.63,1403,0.02806
227.02,1335,0.0267
245.86,1276,0.02552
266.25,1180,0.0236
288.34,1125,0.0225
312.26,1084,0.02168
338.16,945,0.0189
366.21,899,0.01798
396.59,897,0.01794
429.49,741,0.01482
465.12,684,0.01368
503.71,637,0.01274
545.49,595,0.0119
590.74,525,0.0105
639.75,447,0.00894
692.82,389,0.00778
750.29,324,0.00648
812.54,285,0.0057
879.94,224,0.00448
952.94,210,0.0042
1032,167,0.00334
1117.6,131,0.00262
1210.3,113,0.00226
1310.7,77,0.00154
1419.4,69,0.00138
1537.2,54,0.00108
1664.7,36,0.00072
1802.8,23,0.00046
1952.4,22,0.00044
2114.3,13,0.00026
2289.7,6,0.00012
2479.7,5,0.0001
