Bin , nEvents , Efficiencies
152.41,3,6e-05
165.05,4,8e-05
178.75,9,0.00018
193.57,17,0.00034
209.63,18,0.00036
227.02,24,0.00048
245.86,34,0.00068
266.25,52,0.00104
288.34,78,0.00156
312.26,126,0.00252
338.16,124,0.00248
366.21,201,0.00402
396.59,230,0.0046
429.49,289,0.00578
465.12,367,0.00734
503.71,404,0.00808
545.49,515,0.0103
590.74,535,0.0107
639.75,638,0.01276
692.82,765,0.0153
750.29,962,0.01924
812.54,976,0.01952
879.94,1213,0.02426
952.94,1411,0.02822
1032,1616,0.03232
1117.6,1818,0.03636
1210.3,1955,0.0391
1310.7,2199,0.04398
1419.4,2329,0.04658
1537.2,2453,0.04906
1664.7,2508,0.05016
1802.8,2442,0.04884
1952.4,2341,0.04682
2114.3,2064,0.04128
2289.7,1832,0.03664
2479.7,1500,0.03
