Bin , nEvents , Efficiencies
150,20,0.0008
200,66,0.00264
250,72,0.00288
300,66,0.00264
350,61,0.00244
400,57,0.00228
450,53,0.00212
500,74,0.00296
600,54,0.00216
700,30,0.0012
800,25,0.001
900,20,0.0008
1000,19,0.00076
1150,30,0.0012
