Bin , nEvents , Efficiencies
152.41,900,0.036
165.05,906,0.03624
178.75,903,0.03612
193.57,815,0.0326
209.63,794,0.03176
227.02,720,0.0288
245.86,646,0.02584
266.25,550,0.022
288.34,510,0.0204
312.26,456,0.01824
338.16,418,0.01672
366.21,368,0.01472
396.59,312,0.01248
429.49,270,0.0108
465.12,253,0.01012
503.71,187,0.00748
545.49,162,0.00648
590.74,137,0.00548
639.75,122,0.00488
692.82,104,0.00416
750.29,99,0.00396
812.54,76,0.00304
879.94,68,0.00272
952.94,33,0.00132
1032,25,0.001
1117.6,31,0.00124
1210.3,23,0.00092
1310.7,20,0.0008
1419.4,10,0.0004
1537.2,5,0.0002
1664.7,6,0.00024
1802.8,7,0.00028
1952.4,1,4e-05
2114.3,4,0.00016
2289.7,5,0.0002
2479.7,1,4e-05
