Bin , nEvents , Efficiencies
150,19,0.00076
200,73,0.00292
250,75,0.003
300,72,0.00288
350,72,0.00288
400,81,0.00324
450,66,0.00264
500,122,0.00488
600,88,0.00352
700,78,0.00312
800,71,0.00284
900,56,0.00224
1000,68,0.00272
1150,86,0.00344
