150,86,0.00172
160,98,0.00196
170,113,0.00226
180,100,0.002
190,103,0.00206
200,294,0.00588
220,297,0.00594
240,305,0.0061
260,356,0.00712
280,343,0.00686
300,326,0.00652
320,398,0.00796
340,381,0.00762
360,412,0.00824
380,466,0.00932
400,445,0.0089
420,441,0.00882
440,442,0.00884
460,496,0.00992
480,465,0.0093
500,475,0.0095
520,475,0.0095
540,440,0.0088
560,442,0.00884
580,440,0.0088
600,663,0.01326
630,681,0.01362
660,651,0.01302
690,627,0.01254
720,598,0.01196
750,603,0.01206
780,609,0.01218
810,547,0.01094
840,545,0.0109
870,504,0.01008
900,787,0.01574
950,823,0.01646
1000,707,0.01414
1050,648,0.01296
1100,573,0.01146
1150,479,0.00958
1200,456,0.00912
1250,460,0.0092
1310,392,0.00784
1370,362,0.00724
1430,319,0.00638
1490,265,0.0053
1550,261,0.00522
1610,236,0.00472
1680,189,0.00378
1750,177,0.00354
1820,134,0.00268
1890,138,0.00276
1970,107,0.00214
2050,92,0.00184
