Bin , nEvents , Efficiencies
150,1252,0.02504
160,1053,0.02106
170,972,0.01944
180,880,0.0176
190,695,0.0139
200,1281,0.02562
220,1007,0.02014
240,802,0.01604
260,715,0.0143
280,596,0.01192
300,505,0.0101
320,378,0.00756
340,364,0.00728
360,290,0.0058
380,252,0.00504
400,219,0.00438
420,182,0.00364
440,159,0.00318
460,169,0.00338
480,132,0.00264
500,110,0.0022
520,94,0.00188
540,89,0.00178
560,77,0.00154
580,75,0.0015
600,98,0.00196
630,67,0.00134
660,77,0.00154
690,42,0.00084
720,46,0.00092
750,37,0.00074
780,40,0.0008
810,32,0.00064
840,29,0.00058
870,14,0.00028
900,31,0.00062
950,23,0.00046
1000,19,0.00038
1050,11,0.00022
1100,17,0.00034
1150,11,0.00022
1200,10,0.0002
1250,5,0.0001
1310,6,0.00012
1370,6,0.00012
1430,3,6e-05
1490,2,4e-05
1550,2,4e-05
1610,1,2e-05
1680,3,6e-05
1750,4,8e-05
1820,2,4e-05
1890,2,4e-05
1970,1,2e-05
2050,1,2e-05
