"X10RR[2,3]","X10RR[3,3]",Delta_chisquare, Allowed
-1.299999999999998,-0.6999999999999975,6.1411363417676625, 1
-1.299999999999998,-0.5999999999999974,5.583761185388013, 1
-1.299999999999998,-0.49999999999999734,5.143388801070984, 1
-1.299999999999998,-0.39999999999999725,4.804292836066139, 1
-1.299999999999998,-0.29999999999999716,4.553722152300352, 1
-1.299999999999998,-0.19999999999999707,4.381796316430268, 1
-1.299999999999998,-0.09999999999999698,4.281463184615859, 1
-1.299999999999998,3.1086244689504383e-15,4.248489429298601, 1
-1.299999999999998,0.1000000000000032,4.281463184615859, 1
-1.299999999999998,0.2000000000000033,4.3817963164302824, 1
-1.299999999999998,0.3000000000000034,4.553722152300367, 1
-1.299999999999998,0.40000000000000346,4.804292836066168, 1
-1.299999999999998,0.5000000000000036,5.143388801070998, 1
-1.299999999999998,0.6000000000000036,5.583761185388042, 1
-1.299999999999998,0.7000000000000037,6.141136341767705, 1
-1.199999999999998,-0.8999999999999977,5.747035195048269, 1
-1.199999999999998,-0.7999999999999976,5.022305528746713, 1
-1.199999999999998,-0.6999999999999975,4.433325590055475, 1
-1.199999999999998,-0.5999999999999974,3.9605349848493603, 1
-1.199999999999998,-0.49999999999999734,3.5875188904899034, 1
-1.199999999999998,-0.39999999999999725,3.3006585808982436, 1
-1.199999999999998,-0.29999999999999716,3.0889273398233996, 1
-1.199999999999998,-0.19999999999999707,2.943785950894849, 1
-1.199999999999998,-0.09999999999999698,2.859140282395984, 1
-1.199999999999998,3.1086244689504383e-15,2.8313318140423434, 1
-1.199999999999998,0.1000000000000032,2.859140282395984, 1
-1.199999999999998,0.2000000000000033,2.943785950894849, 1
-1.199999999999998,0.3000000000000034,3.088927339823414, 1
-1.199999999999998,0.40000000000000346,3.300658580898258, 1
-1.199999999999998,0.5000000000000036,3.5875188904899318, 1
-1.199999999999998,0.6000000000000036,3.9605349848493887, 1
-1.199999999999998,0.7000000000000037,4.433325590055517, 1
-1.199999999999998,0.8000000000000038,5.022305528746756, 1
-1.199999999999998,0.9000000000000039,5.747035195048312, 1
-1.0999999999999979,-1.0999999999999979,5.954982764484058, 1
-1.0999999999999979,-0.9999999999999978,5.04168727140889, 1
-1.0999999999999979,-0.8999999999999977,4.290733224553264, 1
-1.0999999999999979,-0.7999999999999976,3.6771956695722707, 1
-1.0999999999999979,-0.6999999999999975,3.180356746907293, 1
