Bin , nEvents , Efficiencies
150,9,0.00018
160,12,0.00024
170,12,0.00024
180,13,0.00026
190,28,0.00056
200,38,0.00076
220,53,0.00106
240,54,0.00108
260,90,0.0018
280,104,0.00208
300,89,0.00178
320,114,0.00228
340,134,0.00268
360,141,0.00282
380,131,0.00262
400,147,0.00294
420,129,0.00258
440,157,0.00314
460,142,0.00284
480,165,0.0033
500,154,0.00308
520,183,0.00366
540,191,0.00382
560,181,0.00362
580,201,0.00402
600,289,0.00578
630,318,0.00636
660,323,0.00646
690,335,0.0067
720,344,0.00688
750,347,0.00694
780,367,0.00734
810,326,0.00652
840,390,0.0078
870,350,0.007
900,634,0.01268
950,610,0.0122
1000,684,0.01368
1050,641,0.01282
1100,666,0.01332
1150,710,0.0142
1200,624,0.01248
1250,743,0.01486
1310,754,0.01508
1370,679,0.01358
1430,698,0.01396
1490,584,0.01168
1550,578,0.01156
1610,684,0.01368
1680,608,0.01216
1750,551,0.01102
1820,552,0.01104
1890,576,0.01152
1970,520,0.0104
2050,463,0.00926
