Bin , nEvents , Efficiencies
50,7,0.00014
100,2,4e-05
150,1,2e-05
200,5,0.0001
250,1,2e-05
300,3,6e-05
350,1,2e-05
400,6,0.00012
500,1,2e-05
600,23,0.00046
