Bin , nEvents , Efficiencies
150,0,0
200,2,4e-05
250,4,8e-05
300,10,0.0002
350,15,0.0003
400,15,0.0003
450,29,0.00058
500,48,0.00096
600,54,0.00108
700,70,0.0014
800,51,0.00102
900,52,0.00104
1000,51,0.00102
1150,87,0.00174
