Bin , nEvents , Efficiencies
152.41,88,0.00176
165.05,97,0.00194
178.75,117,0.00234
193.57,141,0.00282
209.63,183,0.00366
227.02,217,0.00434
245.86,251,0.00502
266.25,347,0.00694
288.34,375,0.0075
312.26,419,0.00838
338.16,541,0.01082
366.21,619,0.01238
396.59,718,0.01436
429.49,843,0.01686
465.12,975,0.0195
503.71,1146,0.02292
545.49,1198,0.02396
590.74,1366,0.02732
639.75,1585,0.0317
692.82,1675,0.0335
750.29,1758,0.03516
812.54,1927,0.03854
879.94,1984,0.03968
952.94,2073,0.04146
1032,2063,0.04126
1117.6,1985,0.0397
1210.3,1833,0.03666
1310.7,1732,0.03464
1419.4,1589,0.03178
1537.2,1321,0.02642
1664.7,1094,0.02188
1802.8,903,0.01806
1952.4,784,0.01568
2114.3,580,0.0116
2289.7,392,0.00784
2479.7,276,0.00552
