Bin , nEvents , Efficiencies
150,5,0.0002
160,2,8e-05
170,2,8e-05
180,1,4e-05
190,5,0.0002
200,9,0.00036
220,14,0.00056
240,10,0.0004
260,13,0.00052
280,11,0.00044
300,25,0.001
320,31,0.00124
340,26,0.00104
360,28,0.00112
380,31,0.00124
400,33,0.00132
420,36,0.00144
440,46,0.00184
460,32,0.00128
480,34,0.00136
500,36,0.00144
520,41,0.00164
540,42,0.00168
560,50,0.002
580,56,0.00224
600,57,0.00228
630,87,0.00348
660,96,0.00384
690,102,0.00408
720,82,0.00328
750,89,0.00356
780,85,0.0034
810,105,0.0042
840,84,0.00336
870,102,0.00408
900,175,0.007
950,182,0.00728
1000,188,0.00752
1050,206,0.00824
1100,203,0.00812
1150,209,0.00836
1200,195,0.0078
1250,235,0.0094
1310,265,0.0106
1370,248,0.00992
1430,242,0.00968
1490,267,0.01068
1550,258,0.01032
1610,335,0.0134
1680,304,0.01216
1750,300,0.012
1820,306,0.01224
1890,341,0.01364
1970,325,0.013
2050,315,0.0126
