"Bin "," nEvents "," Efficiencies"
"150","5","0.00024 "
"160","6","0.00011 "
"170","7","0.00015 "
"180","12","0.00014 "
"190","13","0.00027 "
"200","28","0.0005  "
"220","34","0.000785"
"240","37","0.00073 "
"260","45","0.000815"
"280","55","0.00085 "
"300","67","0.00124 "
"320","81","0.001465"
"340","79","0.00148 "
"360","87","0.00142 "
"380","88","0.001535"
"400","85","0.00175 "
"420","108","0.00172 "
"440","103","0.002205"
"460","112","0.001755"
"480","106","0.001845"
"500","136","0.002   "
"520","125","0.00208 "
"540","140","0.002055"
"560","153","0.00239 "
"580","133","0.002695"
"600","232","0.00314 "
"630","216","0.004275"
"660","219","0.00456 "
"690","237","0.004755"
"720","231","0.00411 "
"750","253","0.004475"
"780","258","0.00435 "
"810","265","0.004985"
"840","292","0.00445 "
"870","291","0.005005"
"900","456","0.00858 "
"950","495","0.00873 "
"1000","486","0.009205"
"1050","521","0.009595"
"1100","471","0.00947 "
"1150","486","0.00963 "
"1200","524","0.009085"
"1250","624","0.010805"
"1310","600","0.011445"
"1370","618","0.01093 "
"1430","589","0.010515"
"1490","539","0.01116 "
"1550","609","0.010615"
"1610","661","0.013305"
"1680","607","0.012235"
"1750","633","0.01192 "
"1820","599","0.011835"
"1890","688","0.013045"
"1970","654","0.012195"
"2050","623","0.011795"
