"Bin "," nEvents "," Efficiencies"
150,0,-4.000e-05
160,3," 0.000e+00"
170,3," 1.600e-04"
180,2," 3.600e-04"
190,2,-1.200e-04
200,5,-1.200e-04
220,8," 8.000e-05"
240,8," 1.040e-03"
260,7," 1.080e-03"
280,18," 6.800e-04"
300,17," 4.000e-05"
320,19," 3.600e-04"
340,17," 1.280e-03"
360,14," 8.800e-04"
380,31," 1.000e-03"
400,26," 8.400e-04"
420,38," 8.000e-04"
440,36," 1.200e-03"
460,48," 2.800e-03"
480,50," 2.000e-03"
500,51," 1.440e-03"
520,38," 1.880e-03"
540,37," 2.400e-03"
560,59," 1.280e-03"
580,46," 4.800e-04"
600,77," 3.640e-03"
630,88," 3.480e-03"
660,82," 2.960e-03"
690,83," 3.280e-03"
720,99," 6.320e-03"
750,90," 4.760e-03"
780,92," 3.080e-03"
810,98," 2.840e-03"
840,94," 4.640e-03"
870,120," 3.920e-03"
900,183," 6.200e-03"
950,199," 8.560e-03"
1000,160," 9.040e-03"
1050,200," 7.040e-03"
1100,175," 7.080e-03"
1150,202," 7.480e-03"
1200,223," 1.028e-02"
1250,274," 1.108e-02"
1310,245," 9.880e-03"
1370,258," 1.248e-02"
1430,251," 1.000e-02"
1490,255," 1.244e-02"
1550,242," 9.040e-03"
1610,301," 9.720e-03"
1680,291," 1.328e-02"
1750,334," 9.840e-03"
1820,279," 1.112e-02"
1890,352," 1.036e-02"
1970,283," 1.580e-02"
2050,286," 1.268e-02"
