Bin , nEvents , Efficiencies
152.41,361,0.00722
165.05,491,0.00982
178.75,527,0.01054
193.57,621,0.01242
209.63,708,0.01416
227.02,854,0.01708
245.86,893,0.01786
266.25,982,0.01964
288.34,1072,0.02144
312.26,1170,0.0234
338.16,1278,0.02556
366.21,1436,0.02872
396.59,1424,0.02848
429.49,1617,0.03234
465.12,1580,0.0316
503.71,1683,0.03366
545.49,1657,0.03314
590.74,1718,0.03436
639.75,1644,0.03288
692.82,1607,0.03214
750.29,1513,0.03026
812.54,1398,0.02796
879.94,1306,0.02612
952.94,1186,0.02372
1032,1041,0.02082
1117.6,876,0.01752
1210.3,759,0.01518
1310.7,657,0.01314
1419.4,435,0.0087
1537.2,397,0.00794
1664.7,294,0.00588
1802.8,214,0.00428
1952.4,141,0.00282
2114.3,92,0.00184
2289.7,41,0.00082
2479.7,39,0.00078
