Bin , nEvents , Efficiencies
150,138,0.00276
160,132,0.00264
170,138,0.00276
180,173,0.00346
190,159,0.00318
200,321,0.00642
220,365,0.0073
240,381,0.00762
260,356,0.00712
280,376,0.00752
300,371,0.00742
320,363,0.00726
340,385,0.0077
360,335,0.0067
380,379,0.00758
400,363,0.00726
420,355,0.0071
440,369,0.00738
460,381,0.00762
480,368,0.00736
500,330,0.0066
520,342,0.00684
540,357,0.00714
560,361,0.00722
580,358,0.00716
600,500,0.01
630,505,0.0101
660,498,0.00996
690,452,0.00904
720,434,0.00868
750,422,0.00844
780,417,0.00834
810,419,0.00838
840,397,0.00794
870,392,0.00784
900,619,0.01238
950,613,0.01226
1000,537,0.01074
1050,505,0.0101
1100,465,0.0093
1150,444,0.00888
1200,400,0.008
1250,460,0.0092
1310,450,0.009
1370,373,0.00746
1430,375,0.0075
1490,349,0.00698
1550,326,0.00652
1610,340,0.0068
1680,323,0.00646
1750,295,0.0059
1820,278,0.00556
1890,307,0.00614
1970,255,0.0051
2050,234,0.00468
