Bin , nEvents , Efficiencies
152.41,5,0.0001
165.05,9,0.00018
178.75,10,0.0002
193.57,17,0.00034
209.63,21,0.00042
227.02,33,0.00066
245.86,39,0.00078
266.25,42,0.00084
288.34,87,0.00174
312.26,97,0.00194
338.16,133,0.00266
366.21,154,0.00308
396.59,206,0.00412
429.49,269,0.00538
465.12,292,0.00584
503.71,385,0.0077
545.49,414,0.00828
590.74,505,0.0101
639.75,540,0.0108
692.82,651,0.01302
750.29,749,0.01498
812.54,801,0.01602
879.94,976,0.01952
952.94,1045,0.0209
1032,1226,0.02452
1117.6,1286,0.02572
1210.3,1351,0.02702
1310.7,1460,0.0292
1419.4,1560,0.0312
1537.2,1546,0.03092
1664.7,1562,0.03124
1802.8,1594,0.03188
1952.4,1504,0.03008
2114.3,1433,0.02866
2289.7,1300,0.026
2479.7,1118,0.02236
