"Bin "," nEvents "," Efficiencies"
152.41,13,0.00024
165.05,17,0.00022
178.75,19,0.00053
193.57,38,0.00061
209.63,40,0.00103
227.02,73,0.00128
245.86,80,"0.0016 "
266.25,89,0.00199
288.34,147,0.00289
312.26,181,0.00374
338.16,250,0.00417
366.21,266,0.00482
396.59,330,0.00612
429.49,358,0.00771
465.12,443,0.00959
503.71,506,0.01011
545.49,566,0.01196
590.74,670,0.01336
639.75,759,0.01573
692.82,905,0.01712
750.29,1012,0.02007
812.54,1106,"0.0222 "
879.94,1294,0.02467
952.94,1427,0.02767
1032,1478,0.02917
1117.6,1624,0.03189
1210.3,1736,0.03323
1310.7,1780,0.03582
1419.4,1834,"0.0352 "
1537.2,1810,0.03583
1664.7,1780,0.03482
1802.8,1708,0.03537
1952.4,1571,"0.0322 "
2114.3,1452,0.02833
2289.7,1247,0.02418
2479.7,1017,0.02164
