Bin , nEvents , Efficiencies
50,5,0.0001
100,3,6e-05
150,4,8e-05
200,0,0
250,3,6e-05
300,3,6e-05
350,0,0
400,4,8e-05
500,1,2e-05
600,28,0.00056
