Bin , nEvents , Efficiencies
150,1,2e-05
160,0,0
170,1,2e-05
180,1,2e-05
190,3,6e-05
200,10,0.0002
220,15,0.0003
240,15,0.0003
260,19,0.00038
280,33,0.00066
300,44,0.00088
320,49,0.00098
340,65,0.0013
360,76,0.00152
380,70,0.0014
400,93,0.00186
420,81,0.00162
440,97,0.00194
460,105,0.0021
480,119,0.00238
500,130,0.0026
520,122,0.00244
540,118,0.00236
560,135,0.0027
580,141,0.00282
600,196,0.00392
630,209,0.00418
660,231,0.00462
690,242,0.00484
720,223,0.00446
750,243,0.00486
780,228,0.00456
810,257,0.00514
840,256,0.00512
870,272,0.00544
900,461,0.00922
950,531,0.01062
1000,506,0.01012
1050,520,0.0104
1100,575,0.0115
1150,594,0.01188
1200,597,0.01194
1250,718,0.01436
1310,657,0.01314
1370,743,0.01486
1430,708,0.01416
1490,717,0.01434
1550,676,0.01352
1610,743,0.01486
1680,819,0.01638
1750,794,0.01588
1820,669,0.01338
1890,731,0.01462
1970,723,0.01446
2050,637,0.01274
